animal_id,model_name,nll,sigma,tau,features,weights
W051,t_5,147554.03391263675,0.1,5,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_5']","[array([ 0.32762805,  0.24561285, -0.5732409 ]), array([-1.22101516, -1.11151917,  2.33253434]), array([-0.36504751,  0.36241849,  0.00262903]), array([ 0.58547662, -0.63302477,  0.04754815]), array([-0.06668789,  0.07792668, -0.0112388 ]), array([-0.19011318,  0.20263438, -0.01252117]), array([-0.13705297,  0.14317659, -0.00612364]), array([ 0.23026845,  0.35957985, -0.58984831])]"
W051,t_6,147574.72922625468,0.1,6,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_6']","[array([ 0.32712242,  0.25774522, -0.58486765]), array([-1.22494975, -1.13111278,  2.35606252]), array([-0.36504562,  0.36244293,  0.00260266]), array([ 0.58550623, -0.63298005,  0.04747383]), array([-0.06642948,  0.0785997 , -0.01217022]), array([-0.1902414 ,  0.20279403, -0.01255264]), array([-0.1374041 ,  0.14376273, -0.00635863]), array([ 0.23247993,  0.3446397 , -0.57711962])]"
W051,t_7,147587.60071310666,0.1,7,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_7']","[array([ 0.3265081 ,  0.26982652, -0.59633462]), array([-1.22846058, -1.14935838,  2.37781896]), array([-0.36504784,  0.36246073,  0.00258713]), array([ 0.58553175, -0.63294426,  0.04741251]), array([-0.06623405,  0.07910614, -0.01287209]), array([-0.19033012,  0.20289674, -0.01256657]), array([-0.13765285,  0.14419787, -0.00654503]), array([ 0.23496467,  0.32936158, -0.56432632])]"
W051,t_9,147601.05341762424,0.1,9,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_9']","[array([ 0.32455371,  0.29087079, -0.6154245 ]), array([-1.23403869, -1.17964532,  2.41368402]), array([-0.36505703,  0.36248698,  0.00257005]), array([ 0.58557285, -0.63289451,  0.04732166]), array([-0.06596008,  0.07979044, -0.01383036]), array([-0.19044456,  0.20300632, -0.01256176]), array([-0.13796692,  0.14477886, -0.00681193]), array([ 0.24115889,  0.30232801, -0.5434869 ])]"
W051,t_12,147607.86333181863,0.1,12,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_12']","[array([ 0.32072012,  0.31349995, -0.63422006]), array([-1.24020813, -1.21132631,  2.45153443]), array([-0.36508134,  0.36250628,  0.00257507]), array([ 0.58562806, -0.63284776,  0.04721969]), array([-0.06569655,  0.08036645, -0.01466989]), array([-0.19054419,  0.20306662, -0.01252244]), array([-0.1382031 ,  0.14525816, -0.00705506]), array([ 0.25180768,  0.27318801, -0.52499569])]"
W051,t_15,147609.8851119579,0.1,15,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_15']","[array([ 0.3176434 ,  0.32876446, -0.64640786]), array([-1.24578718, -1.23256409,  2.47835128]), array([-0.36510795,  0.3625139 ,  0.00259405]), array([ 0.58567511, -0.63281932,  0.04714421]), array([-0.06551582,  0.08068563, -0.01516981]), array([-0.19060294,  0.20307971, -0.01247676]), array([-0.13832303,  0.1455193 , -0.00719629]), array([ 0.26098938,  0.25368653, -0.51467591])]"
W051,t_18,147610.58864976733,0.1,18,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_18']","[array([ 0.31572904,  0.33969571, -0.65542475]), array([-1.25130108, -1.2477927 ,  2.4990938 ]), array([-0.36513374,  0.36251556,  0.00261814]), array([ 0.58571445, -0.63280017,  0.04708567]), array([-0.0653801 ,  0.08088226, -0.01550216]), array([-0.19063898,  0.20307622, -0.01243724]), array([-0.13839391,  0.14567911, -0.00728522]), array([ 0.26759478,  0.239533  , -0.50712779])]"
W051,t_20,147610.97773118655,0.1,20,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_20']","[array([ 0.3148596 ,  0.34542251, -0.66028211]), array([-1.25481281, -1.25579416,  2.51060694]), array([-0.36514921,  0.36251539,  0.00263345]), array([ 0.58573588, -0.63279156,  0.04705585]), array([-0.06530784,  0.08097405, -0.01566625]), array([-0.19065495,  0.2030699 , -0.01241492]), array([-0.13842636,  0.14575423, -0.0073279 ]), array([ 0.27125433,  0.23225367, -0.50350801])]"
W051,t_25,147612.00152656896,0.1,25,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_25']","[array([ 0.31388955,  0.35621724, -0.67010679]), array([-1.26309722, -1.27096179,  2.53405901]), array([-0.36518385,  0.36251186,  0.00267199]), array([ 0.58577799, -0.63277866,  0.04700067]), array([-0.06516929,  0.08112583, -0.01595654]), array([-0.190677  ,  0.20304925, -0.01237225]), array([-0.13848289,  0.14588031, -0.00739742]), array([ 0.27702452,  0.2180391 , -0.49506362])]"
W051,t_30,147613.3467226525,0.1,30,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_30']","[array([ 0.31371869,  0.36383899, -0.67755768]), array([-1.27035151, -1.28174006,  2.55209162]), array([-0.3652134 ,  0.36250674,  0.00270661]), array([ 0.5858077 , -0.63277229,  0.04696468]), array([-0.06507376,  0.08121556, -0.01614184]), array([-0.19068472,  0.20302795, -0.01234325]), array([-0.13852077,  0.14595733, -0.00743649]), array([ 0.28085771,  0.2081145 , -0.48897218])]"
W051,t_0,147401.5160556723,0.3,0,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded']","[array([ 0.43088337,  0.38516086, -0.81604423]), array([-1.32727931, -1.24761815,  2.57489746]), array([-0.36568777,  0.36346175,  0.00222602]), array([ 0.58612941, -0.63448784,  0.04835843]), array([-0.06766625,  0.07414714, -0.0064809 ]), array([-0.18835034,  0.20049019, -0.01213985]), array([-0.13408807,  0.14041642, -0.00632835]), array([ 0.08201847,  0.15380598, -0.23582445])]"
W051,t_1,147348.79187785173,0.3,1,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_1']","[array([ 0.39229349,  0.31927219, -0.71156568]), array([-1.28334435, -1.17122887,  2.45457321]), array([-0.36580722,  0.36334025,  0.00246698]), array([ 0.58619551, -0.63450528,  0.04830977]), array([-0.06817649,  0.0736175 , -0.00544102]), array([-0.18850063,  0.2007483 , -0.01224767]), array([-0.13404539,  0.1396312 , -0.00558581]), array([ 0.13899226,  0.24861028, -0.38760254])]"
W051,t_2,147401.8974408612,0.3,2,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_2']","[array([ 0.36075716,  0.26541354, -0.6261707 ]), array([-1.2513721 , -1.1153171 ,  2.36668918]), array([-0.36589157,  0.36326616,  0.0026254 ]), array([ 0.58632405, -0.63443232,  0.0481083 ]), array([-0.06776345,  0.07483196, -0.00706854]), array([-0.18910457,  0.20150276, -0.01239807]), array([-0.13515463,  0.14052474, -0.00537022]), array([ 0.18493591,  0.32713784, -0.51207368])]"
W051,t_3,147469.45450615254,0.3,3,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_3']","[array([ 0.34940753,  0.24836939, -0.59777693]), array([-1.24376277, -1.10491099,  2.34867375]), array([-0.36590668,  0.36327311,  0.00263358]), array([ 0.58640341, -0.63436341,  0.04796005]), array([-0.06720777,  0.07621016, -0.00900238]), array([-0.18956311,  0.202081  , -0.01251788]), array([-0.13612775,  0.14171317, -0.00558547]), array([ 0.20194878,  0.35433347, -0.55628224])]"
