animal_id,model_name,nll,sigma,tau,features,weights
W082,t_5,168525.89129253535,0.0,5,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_5']","[array([ 0.50006264,  0.50123552, -1.00129816]), array([-0.36438728,  0.36065726,  0.00373003]), array([ 0.58013222, -0.62834173,  0.0482095 ]), array([-0.0601863 ,  0.07992655, -0.01974026]), array([-0.1780375 ,  0.18978605, -0.01174855]), array([-0.13149398,  0.13441156, -0.00291758]), array([-1.43552542, -1.44751537,  2.88304079])]"
W082,t_6,168837.61321736773,0.0,6,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_6']","[array([ 0.50824363,  0.50865552, -1.01689915]), array([-0.36447609,  0.36063546,  0.00384063]), array([ 0.58042195, -0.62802036,  0.04759841]), array([-0.0608784 ,  0.07989126, -0.01901286]), array([-0.17966112,  0.19074937, -0.01108825]), array([-0.13179092,  0.1348711 , -0.00308018]), array([-1.47267707, -1.48044228,  2.95311935])]"
W082,t_7,169222.43030525482,0.0,7,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_7']","[array([ 0.51383878,  0.51341858, -1.02725736]), array([-0.36457934,  0.36058664,  0.00399269]), array([ 0.58072259, -0.6276529 ,  0.04693031]), array([-0.06143625,  0.07991755, -0.0184813 ]), array([-0.18111074,  0.19157313, -0.01046239]), array([-0.13204658,  0.13530173, -0.00325515]), array([-1.49963967, -1.50297816,  3.00261783])]"
W082,t_2,202261.65225347463,0.001,2,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_2']","[array([ 0.07677134,  0.08294295, -0.15971429]), array([-0.0024548 , -0.00146514,  0.00391994]), array([ 0.04855918, -0.05390484,  0.00534566]), array([-0.00558318,  0.00677257, -0.00118939]), array([-0.03015439,  0.03077012, -0.00061573]), array([-0.02075573,  0.02092161, -0.00016588]), array([-0.02049403, -0.0204371 ,  0.04093112])]"
W082,t_3,202339.87067798883,0.001,3,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_3']","[array([ 0.07648484,  0.08266271, -0.15914755]), array([-0.00245511, -0.00146539,  0.0039205 ]), array([ 0.04855912, -0.05390494,  0.00534582]), array([-0.00558479,  0.00677131, -0.00118652]), array([-0.03015778,  0.03077188, -0.0006141 ]), array([-0.02075748,  0.02092367, -0.00016619]), array([-0.01951044, -0.0194767 ,  0.03898715])]"
W082,t_4,202403.6236951104,0.001,4,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_4']","[array([ 0.07624215,  0.0824209 , -0.15866304]), array([-0.00245535, -0.00146558,  0.00392093]), array([ 0.04855907, -0.053905  ,  0.00534593]), array([-0.00558568,  0.00677068, -0.001185  ]), array([-0.03015996,  0.03077304, -0.00061308]), array([-0.02075861,  0.02092503, -0.00016642]), array([-0.01867278, -0.01864267,  0.03731545])]"
W082,t_5,202456.69593547966,0.001,5,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_5']","[array([ 0.07603233,  0.08220916, -0.15824148]), array([-0.00245554, -0.00146576,  0.0039213 ]), array([ 0.04855904, -0.05390504,  0.005346  ]), array([-0.00558622,  0.00677032, -0.00118411]), array([-0.03016153,  0.03077389, -0.00061236]), array([-0.0207594 ,  0.02092604, -0.00016664]), array([-0.01794666, -0.01790998,  0.03585664])]"
W082,t_6,202501.79823468247,0.001,6,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_6']","[array([ 0.07584725,  0.0820214 , -0.15786865]), array([-0.00245573, -0.00146593,  0.00392165]), array([ 0.04855903, -0.05390506,  0.00534603]), array([-0.00558657,  0.00677012, -0.00118355]), array([-0.03016274,  0.03077452, -0.00061178]), array([-0.02076   ,  0.02092683, -0.00016683]), array([-0.01730486, -0.01725884,  0.0345637 ])]"
W082,t_7,202540.74133576828,0.001,7,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_7']","[array([ 0.07568169,  0.08185292, -0.15753462]), array([-0.0024559 , -0.00146609,  0.003922  ]), array([ 0.04855903, -0.05390508,  0.00534605]), array([-0.00558682,  0.00676999, -0.00118318]), array([-0.03016373,  0.03077501, -0.00061128]), array([-0.02076049,  0.02092747, -0.00016698]), array([-0.01672994, -0.0166737 ,  0.03340364])]"
W082,t_2,169615.00150438293,0.05,2,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_2']","[array([ 0.41892944,  0.42077199, -0.83970143]), array([-0.36088289,  0.35665201,  0.00423094]), array([ 0.57567599, -0.62303222,  0.04735621]), array([-0.0569512 ,  0.08048298, -0.02353177]), array([-0.17206109,  0.18584014, -0.01377907]), array([-0.13007805,  0.13248517, -0.00240711]), array([-1.13222938, -1.14858933,  2.28081869])]"
