animal_id,model_name,nll,sigma,features,weights
W051,prev_reward,168260.74322772888,0.3,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded']","[array([ 0.42274025,  0.38716065, -0.8099009 ]), array([-1.30945187, -1.26826175,  2.57771362]), array([-0.35120131,  0.34777241,  0.0034289 ]), array([ 0.56985886, -0.61961867,  0.0497598 ]), array([-0.06433231,  0.06933986, -0.00500755]), array([-0.17926244,  0.19394086, -0.01467842]), array([-0.12570354,  0.13077145, -0.00506791]), array([ 0.08946272,  0.15256062, -0.24202334])]"
W051,prev_reward_filter,168200.73248893226,0.3,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_1']","[array([ 0.38507971,  0.32118251, -0.70626222]), array([-1.26687407, -1.1921754 ,  2.45904947]), array([-0.35137135,  0.34788084,  0.00349053]), array([ 0.57008822, -0.61990647,  0.04981822]), array([-0.06464822,  0.0688746 , -0.00422638]), array([-0.17938896,  0.19431403, -0.01492504]), array([-0.12577189,  0.1300065 , -0.0042346 ]), array([ 0.14452202,  0.24645004, -0.39097205])]"
W051,prev_reward_inc_delay,168247.66757913813,0.3,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded', 'prev_delayed_rewarded']","[array([ 0.4187504 ,  0.39246348, -0.81121388]), array([-1.30637356, -1.27268406,  2.57905762]), array([-0.3513337 ,  0.34793684,  0.00339685]), array([ 0.56999427, -0.61979623,  0.04980195]), array([-0.06440151,  0.06943845, -0.00503695]), array([-0.17941413,  0.19433455, -0.01492042]), array([-0.12555782,  0.13043299, -0.00487517]), array([ 0.09309422,  0.14785161, -0.24094583]), array([ 0.05227599, -0.06888671,  0.01661072])]"
W051,psytrack,191687.90706137833,0.4,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.02991416,  0.03896309, -0.06887725]), array([-0.35085799,  0.34416517,  0.00669282]), array([ 0.57066954, -0.60801412,  0.03734458]), array([-0.07555463,  0.08229634, -0.00674171]), array([-0.21516608,  0.22055438, -0.0053883 ]), array([-0.1488696 ,  0.15370973, -0.00484013])]"
W051,prev_violation,178684.19066828338,0.4,"['bias', 'prev_violation', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.24495788,  0.25519544, -0.50015332]), array([-0.60171836, -0.61353146,  1.21524907]), array([-0.35118974,  0.34585283,  0.00533687]), array([ 0.56997353, -0.61380859,  0.04383417]), array([-0.05959957,  0.07889047, -0.01929085]), array([-0.17865123,  0.19528379, -0.01663112]), array([-0.13382485,  0.13719692, -0.00337273])]"
W051,prev_violation_filter,168580.72872651817,0.4,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.48166999,  0.49257968, -0.97424968]), array([-1.37958888, -1.39389709,  2.77348596]), array([-0.35121386,  0.34738681,  0.00382705]), array([ 0.56987511, -0.61880716,  0.04893206]), array([-0.06065358,  0.07690911, -0.01625553]), array([-0.18053299,  0.19627712, -0.01574413]), array([-0.1314927,  0.1366819, -0.0051892])]"
W051,prev_reward,168260.74357008192,0.4,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded']","[array([ 0.42309198,  0.38750129, -0.81059326]), array([-1.31030531, -1.26908254,  2.57938786]), array([-0.35124431,  0.34781783,  0.00342648]), array([ 0.56990802, -0.61968159,  0.04977358]), array([-0.06432217,  0.06935389, -0.00503172]), array([-0.17925954,  0.19394542, -0.01468585]), array([-0.1257167,  0.1307843, -0.0050676]), array([ 0.08928191,  0.1523891 , -0.24167101])]"
W051,prev_reward_filter,168200.72094741237,0.4,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_1']","[array([ 0.38554573,  0.32160898, -0.7071547 ]), array([-1.26784786, -1.19306174,  2.46090955]), array([-0.3514141 ,  0.3479259 ,  0.00348831]), array([ 0.57013743, -0.61996809,  0.04983073]), array([-0.06463566,  0.06889044, -0.00425484]), array([-0.17938697,  0.19431859, -0.01493167]), array([-0.12578705,  0.13002177, -0.0042349 ]), array([ 0.14416035,  0.24613064, -0.39029078])]"
W051,prev_reward_inc_delay,168247.62616555148,0.4,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded', 'prev_delayed_rewarded']","[array([ 0.41910731,  0.39282371, -0.81193103]), array([-1.30723077, -1.27352549,  2.58075687]), array([-0.3513767 ,  0.34798286,  0.00339374]), array([ 0.57004348, -0.6198599 ,  0.04981654]), array([-0.06439169,  0.0694526 , -0.00506159]), array([-0.17941067,  0.19434132, -0.01492832]), array([-0.12557015,  0.13044522, -0.00487324]), array([ 0.09290982,  0.14766365, -0.24057339]), array([ 0.05220531, -0.06911696,  0.0169116 ])]"
W051,psytrack,191687.8948976585,0.5,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.02991177,  0.03896064, -0.06887241]), array([-0.35087915,  0.34418393,  0.00669095]), array([ 0.57069327, -0.60803883,  0.03734545]), array([-0.07555739,  0.08229903, -0.00674191]), array([-0.21517058,  0.2205581 , -0.0053889 ]), array([-0.148874  ,  0.1537139 , -0.00484044])]"
