animal_id,session,choice,proportion,Choice,percentage
W051,419,1,0.46153846153846156,Right,46.15
W051,419,0,0.42857142857142855,Left,42.86
W051,419,2,0.10989010989010989,Violation,10.99
W051,420,1,0.3906633906633907,Right,39.07
W051,420,0,0.36855036855036855,Left,36.86
W051,420,2,0.24078624078624078,Violation,24.08
W051,421,1,0.4827586206896552,Right,48.28
W051,421,0,0.40344827586206894,Left,40.34
W051,421,2,0.11379310344827587,Violation,11.38
W051,422,1,0.40412979351032446,Right,40.41
W051,422,0,0.3952802359882006,Left,39.53
W051,422,2,0.20058997050147492,Violation,20.06
W051,423,1,0.43015521064301554,Right,43.02
W051,423,0,0.38137472283813745,Left,38.14
W051,423,2,0.188470066518847,Violation,18.85
W051,424,1,0.43832020997375326,Right,43.83
W051,424,0,0.4094488188976378,Left,40.94
W051,424,2,0.15223097112860892,Violation,15.22
W051,425,0,0.45014245014245013,Left,45.01
W051,425,1,0.4415954415954416,Right,44.16
W051,425,2,0.10826210826210826,Violation,10.83
W051,426,1,0.4385150812064965,Right,43.85
W051,426,0,0.37819025522041766,Left,37.82
W051,426,2,0.18329466357308585,Violation,18.33
W051,427,1,0.3947990543735225,Right,39.48
W051,427,0,0.37825059101654845,Left,37.83
W051,427,2,0.22695035460992907,Violation,22.7
W051,428,0,0.43844492440604754,Left,43.84
W051,428,1,0.4146868250539957,Right,41.47
W051,428,2,0.1468682505399568,Violation,14.69
W051,429,0,0.4394736842105263,Left,43.95
W051,429,1,0.42105263157894735,Right,42.11
W051,429,2,0.1394736842105263,Violation,13.95
W051,430,0,0.45416666666666666,Left,45.42
W051,430,1,0.44583333333333336,Right,44.58
W051,430,2,0.1,Violation,10.0
W051,431,0,0.4405594405594406,Left,44.06
W051,431,1,0.4370629370629371,Right,43.71
W051,431,2,0.12237762237762238,Violation,12.24
W051,432,1,0.4317343173431734,Right,43.17
W051,432,0,0.39114391143911437,Left,39.11
W051,432,2,0.17712177121771217,Violation,17.71
W051,433,1,0.42891566265060244,Right,42.89
W051,433,0,0.39036144578313253,Left,39.04
W051,433,2,0.18072289156626506,Violation,18.07
W051,434,1,0.4506024096385542,Right,45.06
W051,434,0,0.41927710843373495,Left,41.93
W051,434,2,0.13012048192771083,Violation,13.01
W051,435,1,0.4513888888888889,Right,45.14
W051,435,0,0.38425925925925924,Left,38.43
